y_m,tau_kinematic_m2s2,tau_Pa,tau_over_tau_cr
-7.279045,0.00294613,2.9461,0.101117
-7.230356,0.00440659,4.4066,0.151244
-7.181666,0.00615985,6.1598,0.211419
-7.132977,0.00767191,7.6719,0.263316
-7.084288,0.00878097,8.7810,0.301382
-7.035599,0.00985859,9.8586,0.338368
-6.986909,0.01075158,10.7516,0.369017
-6.938220,0.01169851,11.6985,0.401518
-6.889531,0.01253600,12.5360,0.430262
-6.840841,0.01318100,13.1810,0.452400
-6.792152,0.01378271,13.7827,0.473052
-6.743463,0.01430129,14.3013,0.490851
-6.694774,0.01480665,14.8067,0.508196
-6.646084,0.01531570,15.3157,0.525668
-6.597395,0.01575039,15.7504,0.540587
-6.548706,0.01613434,16.1343,0.553765
-6.500017,0.01643943,16.4394,0.564237
-6.451327,0.01673033,16.7303,0.574221
-6.402638,0.01696074,16.9607,0.582129
-6.353949,0.01727872,17.2787,0.593043
-6.305260,0.01751369,17.5137,0.601107
-6.256570,0.01765814,17.6581,0.606065
-6.207881,0.01791121,17.9112,0.614751
-6.159192,0.01798992,17.9899,0.617453
-6.110503,0.01816770,18.1677,0.623555
-6.061813,0.01827861,18.2786,0.627361
-6.013124,0.01839444,18.3944,0.631337
-5.964435,0.01855070,18.5507,0.636700
-5.915745,0.01859005,18.5901,0.638051
-5.867056,0.01868719,18.6872,0.641385
-5.818367,0.01869601,18.6960,0.641687
-5.769678,0.01879200,18.7920,0.644982
-5.720988,0.01886215,18.8622,0.647390
-5.672299,0.01892221,18.9222,0.649451
-5.623610,0.01892907,18.9291,0.649687
-5.574921,0.01900357,19.0036,0.652244
-5.526231,0.01898978,18.9898,0.651770
-5.477542,0.01912177,19.1218,0.656300
-5.428853,0.01908141,19.0814,0.654915
-5.380164,0.01908425,19.0843,0.655013
-5.331474,0.01910337,19.1034,0.655669
-5.282785,0.01915153,19.1515,0.657322
-5.234096,0.01918268,19.1827,0.658391
-5.185407,0.01918271,19.1827,0.658392
-5.136717,0.01923085,19.2308,0.660044
-5.088028,0.01917974,19.1797,0.658290
-5.039339,0.01927203,19.2720,0.661458
-4.990649,0.01919397,19.1940,0.658778
-4.941960,0.01915715,19.1571,0.657515
-4.893271,0.01932069,19.3207,0.663128
-4.844582,0.01928632,19.2863,0.661948
-4.795892,0.01918367,19.1837,0.658425
-4.747203,0.01935057,19.3506,0.664153
-4.698514,0.01932854,19.3285,0.663397
-4.649825,0.01931549,19.3155,0.662949
-4.601135,0.01919704,19.1970,0.658884
-4.552446,0.01937150,19.3715,0.664872
-4.503757,0.01938021,19.3802,0.665170
-4.455068,0.01936178,19.3618,0.664538
-4.406378,0.01936704,19.3670,0.664719
-4.357689,0.01938731,19.3873,0.665414
-4.309000,0.01940256,19.4026,0.665938
-4.260311,0.01939493,19.3949,0.665676
-4.211621,0.01942886,19.4289,0.666840
-4.162932,0.01941629,19.4163,0.666409
-4.114243,0.01944695,19.4470,0.667461
-4.065553,0.01938939,19.3894,0.665485
-4.016864,0.01942274,19.4227,0.666630
-3.968175,0.01973488,19.7349,0.677344
-3.919486,0.01949003,19.4900,0.668940
-3.870796,0.01954190,19.5419,0.670720
-3.822107,0.01961916,19.6192,0.673372
-3.773418,0.01962255,19.6225,0.673488
-3.724729,0.01977055,19.7705,0.678568
-3.676039,0.01964155,19.6416,0.674140
-3.627350,0.01972291,19.7229,0.676933
-3.578661,0.01969732,19.6973,0.676054
-3.529972,0.01989857,19.8986,0.682962
-3.481282,0.02012081,20.1208,0.690589
-3.432593,0.02007701,20.0770,0.689086
-3.383904,0.02002421,20.0242,0.687274
