y_m,tau_kinematic_m2s2,tau_Pa,tau_over_tau_cr
-7.251566,0.00210501,2.1050,0.072249
-7.203061,0.00286554,2.8655,0.098352
-7.154555,0.00323685,3.2368,0.111096
-7.106050,0.00358706,3.5871,0.123116
-7.057544,0.00378747,3.7875,0.129994
-7.009039,0.00406764,4.0676,0.139610
-6.960533,0.00422879,4.2288,0.145141
-6.912028,0.00441358,4.4136,0.151483
-6.863522,0.00450923,4.5092,0.154766
-6.815017,0.00464813,4.6481,0.159534
-6.766512,0.00473071,4.7307,0.162368
-6.718006,0.00481071,4.8107,0.165114
-6.669501,0.00492513,4.9251,0.169041
-6.620995,0.00496309,4.9631,0.170344
-6.572490,0.00505090,5.0509,0.173358
-6.523984,0.00509157,5.0916,0.174754
-6.475479,0.00513393,5.1339,0.176207
-6.426973,0.00519034,5.1903,0.178144
-6.378468,0.00521895,5.2189,0.179126
-6.329962,0.00525472,5.2547,0.180353
-6.281457,0.00529904,5.2990,0.181875
-6.232952,0.00531516,5.3152,0.182428
-6.184446,0.00535199,5.3520,0.183692
-6.135941,0.00534889,5.3489,0.183585
-6.087435,0.00537687,5.3769,0.184546
-6.038930,0.00539779,5.3978,0.185264
-5.990424,0.00541344,5.4134,0.185801
-5.941919,0.00541733,5.4173,0.185935
-5.893413,0.00543564,5.4356,0.186563
-5.844908,0.00545267,5.4527,0.187147
-5.796402,0.00545342,5.4534,0.187173
-5.747897,0.00546243,5.4624,0.187482
-5.699391,0.00546040,5.4604,0.187413
-5.650886,0.00547554,5.4755,0.187932
-5.602381,0.00548905,5.4891,0.188396
-5.553875,0.00548607,5.4861,0.188294
-5.505370,0.00549100,5.4910,0.188463
-5.456864,0.00548485,5.4848,0.188252
-5.408359,0.00549817,5.4982,0.188709
-5.359853,0.00550899,5.5090,0.189080
-5.311348,0.00550480,5.5048,0.188937
-5.262842,0.00551148,5.5115,0.189166
-5.214337,0.00552395,5.5239,0.189594
-5.165831,0.00551195,5.5120,0.189182
-5.117326,0.00550316,5.5032,0.188880
-5.068821,0.00551886,5.5189,0.189419
-5.020315,0.00550514,5.5051,0.188948
-4.971810,0.00553127,5.5313,0.189845
-4.923304,0.00553319,5.5332,0.189911
-4.874799,0.00551736,5.5174,0.189368
-4.826293,0.00551524,5.5152,0.189295
-4.777788,0.00557377,5.5738,0.191304
-4.729282,0.00551898,5.5190,0.189423
-4.680777,0.00556999,5.5700,0.191174
-4.632271,0.00552324,5.5232,0.189569
-4.583766,0.00552334,5.5233,0.189573
-4.535260,0.00554541,5.5454,0.190330
-4.486755,0.00552160,5.5216,0.189513
-4.438250,0.00557793,5.5779,0.191447
-4.389744,0.00552304,5.5230,0.189563
-4.341239,0.00554991,5.5499,0.190485
-4.292733,0.00552576,5.5258,0.189656
-4.244228,0.00555080,5.5508,0.190515
-4.195722,0.00552636,5.5264,0.189677
-4.147217,0.00555121,5.5512,0.190529
-4.098711,0.00552734,5.5273,0.189710
-4.050206,0.00555214,5.5521,0.190561
-4.001700,0.00552781,5.5278,0.189726
-3.953195,0.00555694,5.5569,0.190726
-3.904689,0.00550769,5.5077,0.189036
-3.856184,0.00559493,5.5949,0.192030
-3.807679,0.00552338,5.5234,0.189574
-3.759173,0.00558502,5.5850,0.191690
-3.710668,0.00551955,5.5196,0.189443
-3.662162,0.00559705,5.5970,0.192103
-3.613657,0.00552070,5.5207,0.189482
-3.565151,0.00556100,5.5610,0.190865
-3.516646,0.00558309,5.5831,0.191624
-3.468140,0.00552687,5.5269,0.189694
-3.419635,0.00558939,5.5894,0.191840
-3.371129,0.00551538,5.5154,0.189300
-3.322624,0.00560937,5.6094,0.192526
-3.274119,0.00557789,5.5779,0.191445
-3.225613,0.00551866,5.5187,0.189412
-3.177108,0.00560981,5.6098,0.192541
-3.128602,0.00555764,5.5576,0.190750
-3.080097,0.00550648,5.5065,0.188994
-3.031591,0.00561301,5.6130,0.192650
-2.983086,0.00554994,5.5499,0.190486
-2.934580,0.00550980,5.5098,0.189108
-2.886075,0.00561498,5.6150,0.192718
-2.837569,0.00555128,5.5513,0.190532
-2.789064,0.00551172,5.5117,0.189174
-2.740558,0.00561426,5.6143,0.192694
-2.692053,0.00559958,5.5996,0.192190
-2.643548,0.00551628,5.5163,0.189331
-2.595042,0.00560834,5.6083,0.192490
-2.546537,0.00561554,5.6155,0.192737
-2.498031,0.00555376,5.5538,0.190617
-2.449526,0.00550171,5.5017,0.188831
-2.401020,0.00561332,5.6133,0.192661
-2.352515,0.00561230,5.6123,0.192626
-2.304009,0.00555739,5.5574,0.190742
-2.255504,0.00549609,5.4961,0.188638
-2.206998,0.00560739,5.6074,0.192458
-2.158493,0.00560729,5.6073,0.192454
-2.109987,0.00557789,5.5779,0.191445
-2.061482,0.00551678,5.5168,0.189348
-2.012977,0.00559602,5.5960,0.192067
-1.964471,0.00560033,5.6003,0.192215
-1.915966,0.00560458,5.6046,0.192361
-1.867460,0.00560488,5.6049,0.192371
-1.818955,0.00556399,5.5640,0.190968
-1.770449,0.00549168,5.4917,0.188486
-1.721944,0.00559989,5.5999,0.192200
-1.673438,0.00560169,5.6017,0.192262
-1.624933,0.00560455,5.6045,0.192360
-1.576427,0.00558961,5.5896,0.191848
-1.527922,0.00555034,5.5503,0.190500
-1.479417,0.00548627,5.4863,0.188301
-1.430911,0.00559237,5.5924,0.191942
-1.382406,0.00558484,5.5848,0.191684
-1.333900,0.00558650,5.5865,0.191741
-1.285395,0.00559416,5.5942,0.192004
-1.236889,0.00560410,5.6041,0.192345
-1.188384,0.00559251,5.5925,0.191947
-1.139878,0.00556626,5.5663,0.191046
-1.091373,0.00546936,5.4694,0.187720
-1.042867,0.00557292,5.5729,0.191275
-0.994362,0.00555768,5.5577,0.190752
-0.945856,0.00552575,5.5257,0.189656
-0.897351,0.00557205,5.5721,0.191245
-0.848846,0.00560702,5.6070,0.192445
-0.800340,0.00560490,5.6049,0.192372
-0.751835,0.00560506,5.6051,0.192378
-0.703329,0.00560785,5.6078,0.192473
-0.654824,0.00561033,5.6103,0.192559
-0.606318,0.00561231,5.6123,0.192626
-0.557813,0.00561449,5.6145,0.192701
-0.509307,0.00561596,5.6160,0.192752
-0.460802,0.00561733,5.6173,0.192799
-0.412296,0.00561841,5.6184,0.192836
-0.363791,0.00561916,5.6192,0.192862
-0.315285,0.00561997,5.6200,0.192889
-0.266780,0.00562057,5.6206,0.192910
-0.218275,0.00562120,5.6212,0.192932
-0.169769,0.00562161,5.6216,0.192946
-0.121264,0.00562178,5.6218,0.192952
-0.072758,0.00562185,5.6219,0.192954
-0.024253,0.00562197,5.6220,0.192958
0.024253,0.00562214,5.6221,0.192964
0.072758,0.00562207,5.6221,0.192961
0.121264,0.00562175,5.6218,0.192951
0.169769,0.00562133,5.6213,0.192936
0.218275,0.00562095,5.6210,0.192923
0.266780,0.00562062,5.6206,0.192912
0.315285,0.00562009,5.6201,0.192894
0.363791,0.00561901,5.6190,0.192856
0.412296,0.00561797,5.6180,0.192821
0.460802,0.00561689,5.6169,0.192784
0.509307,0.00561576,5.6158,0.192745
0.557813,0.00561427,5.6143,0.192694
0.606318,0.00561162,5.6116,0.192603
0.654824,0.00560913,5.6091,0.192517
0.703329,0.00560619,5.6062,0.192416
0.751835,0.00560274,5.6027,0.192298
0.800340,0.00559804,5.5980,0.192137
0.848846,0.00559177,5.5918,0.191921
0.897351,0.00558031,5.5803,0.191528
0.945856,0.00556461,5.5646,0.190989
0.994362,0.00556096,5.5610,0.190864
1.042867,0.00555953,5.5595,0.190815
1.091373,0.00546570,5.4657,0.187595
1.139878,0.00556407,5.5641,0.190971
1.188384,0.00559111,5.5911,0.191899
1.236889,0.00560326,5.6033,0.192316
1.285395,0.00559379,5.5938,0.191991
1.333900,0.00558630,5.5863,0.191734
1.382406,0.00558451,5.5845,0.191672
1.430911,0.00559223,5.5922,0.191937
1.479417,0.00548649,5.4865,0.188308
1.527922,0.00555071,5.5507,0.190512
1.576427,0.00558994,5.5899,0.191859
1.624933,0.00560462,5.6046,0.192363
1.673438,0.00560176,5.6018,0.192264
1.721944,0.00560007,5.6001,0.192206
1.770449,0.00549204,5.4920,0.188499
1.818955,0.00556420,5.5642,0.190975
1.867460,0.00560501,5.6050,0.192376
1.915966,0.00560469,5.6047,0.192365
1.964471,0.00560047,5.6005,0.192220
2.012977,0.00559619,5.5962,0.192073
2.061482,0.00551693,5.5169,0.189353
2.109987,0.00557793,5.5779,0.191447
2.158493,0.00560727,5.6073,0.192454
2.206998,0.00560742,5.6074,0.192459
2.255504,0.00549620,5.4962,0.188641
2.304009,0.00555749,5.5575,0.190745
2.352515,0.00561221,5.6122,0.192623
2.401020,0.00561312,5.6131,0.192654
2.449526,0.00550149,5.5015,0.188823
2.498031,0.00555395,5.5539,0.190623
2.546537,0.00561568,5.6157,0.192742
