y_m,tau_kinematic_m2s2,tau_Pa,tau_over_tau_cr
-7.251566,0.00247209,2.4721,0.084848
-7.203061,0.00536374,5.3637,0.184095
-7.154555,0.00675006,6.7501,0.231677
-7.106050,0.00819681,8.1968,0.281332
-7.057544,0.00920263,9.2026,0.315854
-7.009039,0.01062975,10.6298,0.364836
-6.960533,0.01154751,11.5475,0.396336
-6.912028,0.01265957,12.6596,0.434504
-6.863522,0.01336603,13.3660,0.458751
-6.815017,0.01424414,14.2441,0.488889
-6.766512,0.01498436,14.9844,0.514296
-6.718006,0.01552541,15.5254,0.532865
-6.669501,0.01644358,16.4436,0.564379
-6.620995,0.01688269,16.8827,0.579450
-6.572490,0.01758773,17.5877,0.603649
-6.523984,0.01813351,18.1335,0.622381
-6.475479,0.01848790,18.4879,0.634544
-6.426973,0.01905457,19.0546,0.653994
-6.378468,0.01943971,19.4397,0.667213
-6.329962,0.01987998,19.8800,0.682324
-6.281457,0.02036686,20.3669,0.699034
-6.232952,0.02066700,20.6670,0.709336
-6.184446,0.02107276,21.0728,0.723263
-6.135941,0.02118249,21.1825,0.727029
-6.087435,0.02148145,21.4815,0.737290
-6.038930,0.02189662,21.8966,0.751539
-5.990424,0.02217329,22.1733,0.761035
-5.941919,0.02238061,22.3806,0.768151
-5.893413,0.02258182,22.5818,0.775057
-5.844908,0.02277238,22.7724,0.781597
-5.796402,0.02293914,22.9391,0.787321
-5.747897,0.02314240,23.1424,0.794297
-5.699391,0.02327165,23.2717,0.798733
-5.650886,0.02342570,23.4257,0.804021
-5.602381,0.02355784,23.5578,0.808556
-5.553875,0.02366661,23.6666,0.812289
-5.505370,0.02379718,23.7972,0.816771
-5.456864,0.02385879,23.8588,0.818885
-5.408359,0.02397461,23.9746,0.822860
-5.359853,0.02405473,24.0547,0.825610
-5.311348,0.02412770,24.1277,0.828115
-5.262842,0.02435124,24.3512,0.835787
-5.214337,0.02445691,24.4569,0.839414
-5.165831,0.02429116,24.2912,0.833725
-5.117326,0.02429840,24.2984,0.833974
-5.068821,0.02444246,24.4425,0.838918
-5.020315,0.02413766,24.1377,0.828456
-4.971810,0.02476204,24.7620,0.849887
-4.923304,0.02457886,24.5789,0.843600
-4.874799,0.02447755,24.4775,0.840122
-4.826293,0.02444177,24.4418,0.838894
-4.777788,0.02542211,25.4221,0.872542
-4.729282,0.02449166,24.4917,0.840607
-4.680777,0.02538420,25.3842,0.871240
-4.632271,0.02457518,24.5752,0.843473
-4.583766,0.02469630,24.6963,0.847630
-4.535260,0.02491372,24.9137,0.855093
-4.486755,0.02454907,24.5491,0.842577
-4.438250,0.02550777,25.5078,0.875482
-4.389744,0.02456559,24.5656,0.843144
-4.341239,0.02508666,25.0867,0.861028
-4.292733,0.02450218,24.5022,0.840968
-4.244228,0.02510595,25.1059,0.861690
-4.195722,0.02451323,24.5132,0.841347
-4.147217,0.02511576,25.1158,0.862027
-4.098711,0.02452851,24.5285,0.841871
-4.050206,0.02512954,25.1295,0.862500
-4.001700,0.02453335,24.5333,0.842037
-3.953195,0.02519490,25.1949,0.864743
-3.904689,0.02423557,24.2356,0.831817
-3.856184,0.02572724,25.7272,0.883014
-3.807679,0.02457415,24.5741,0.843438
-3.759173,0.02561503,25.6150,0.879163
-3.710668,0.02451519,24.5152,0.841414
-3.662162,0.02575178,25.7518,0.883857
-3.613657,0.02463076,24.6308,0.845381
-3.565151,0.02511410,25.1141,0.861970
-3.516646,0.02554940,25.5494,0.876910
-3.468140,0.02461238,24.6124,0.844750
-3.419635,0.02566177,25.6618,0.880767
-3.371129,0.02444887,24.4489,0.839138
-3.322624,0.02594158,25.9416,0.890371
-3.274119,0.02542354,25.4235,0.872591
-3.225613,0.02447335,24.4733,0.839978
-3.177108,0.02591913,25.9191,0.889601
-3.128602,0.02514261,25.1426,0.862949
-3.080097,0.02418893,24.1889,0.830216
-3.031591,0.02597163,25.9716,0.891402
-2.983086,0.02500737,25.0074,0.858307
-2.934580,0.02422383,24.2238,0.831414
-2.886075,0.02598444,25.9844,0.891842
-2.837569,0.02501086,25.0109,0.858427
-2.789064,0.02424650,24.2465,0.832192
-2.740558,0.02597285,25.9729,0.891444
-2.692053,0.02571562,25.7156,0.882616
-2.643548,0.02440620,24.4062,0.837673
-2.595042,0.02588029,25.8803,0.888267
-2.546537,0.02594163,25.9416,0.890373
-2.498031,0.02500918,25.0092,0.858369
-2.449526,0.02410541,24.1054,0.827350
-2.401020,0.02593484,25.9348,0.890140
-2.352515,0.02585058,25.8506,0.887247
-2.304009,0.02505596,25.0560,0.859974
-2.255504,0.02403117,24.0312,0.824801
-2.206998,0.02584212,25.8421,0.886957
-2.158493,0.02577589,25.7759,0.884684
-2.109987,0.02532041,25.3204,0.869051
-2.061482,0.02440734,24.4073,0.837713
-2.012977,0.02568332,25.6833,0.881507
-1.964471,0.02571177,25.7118,0.882483
-1.915966,0.02572631,25.7263,0.882982
-1.867460,0.02569702,25.6970,0.881977
-1.818955,0.02511818,25.1182,0.862110
-1.770449,0.02396254,23.9625,0.822446
-1.721944,0.02571847,25.7185,0.882713
-1.673438,0.02570062,25.7006,0.882101
-1.624933,0.02570546,25.7055,0.882267
-1.576427,0.02544238,25.4424,0.873237
-1.527922,0.02494716,24.9472,0.856240
-1.479417,0.02389458,23.8946,0.820114
-1.430911,0.02561777,25.6178,0.879257
-1.382406,0.02544892,25.4489,0.873462
-1.333900,0.02544471,25.4447,0.873317
-1.285395,0.02553939,25.5394,0.876567
-1.236889,0.02566475,25.6647,0.880869
-1.188384,0.02546672,25.4667,0.874073
-1.139878,0.02511470,25.1147,0.861991
-1.091373,0.02371267,23.7127,0.813870
-1.042867,0.02540706,25.4071,0.872025
-0.994362,0.02515774,25.1577,0.863468
-0.945856,0.02467565,24.6757,0.846921
-0.897351,0.02525382,25.2538,0.866766
-0.848846,0.02570243,25.7024,0.882163
-0.800340,0.02564770,25.6477,0.880284
-0.751835,0.02563473,25.6347,0.879839
-0.703329,0.02566333,25.6633,0.880821
-0.654824,0.02569176,25.6918,0.881797
-0.606318,0.02571656,25.7166,0.882648
-0.557813,0.02574486,25.7449,0.883619
-0.509307,0.02576288,25.7629,0.884237
-0.460802,0.02577812,25.7781,0.884761
-0.412296,0.02579139,25.7914,0.885216
-0.363791,0.02580248,25.8025,0.885597
-0.315285,0.02581470,25.8147,0.886016
-0.266780,0.02582214,25.8221,0.886271
-0.218275,0.02582802,25.8280,0.886473
-0.169769,0.02583274,25.8327,0.886635
-0.121264,0.02583610,25.8361,0.886751
-0.072758,0.02583844,25.8384,0.886831
-0.024253,0.02583953,25.8395,0.886869
0.024253,0.02583939,25.8394,0.886864
0.072758,0.02583807,25.8381,0.886818
0.121264,0.02583548,25.8355,0.886729
0.169769,0.02583185,25.8319,0.886605
0.218275,0.02582685,25.8269,0.886433
0.266780,0.02582068,25.8207,0.886221
0.315285,0.02581291,25.8129,0.885955
0.363791,0.02580016,25.8002,0.885517
0.412296,0.02578860,25.7886,0.885120
0.460802,0.02577476,25.7748,0.884645
0.509307,0.02575884,25.7588,0.884099
0.557813,0.02573985,25.7398,0.883447
0.606318,0.02570951,25.7095,0.882406
0.654824,0.02568217,25.6822,0.881468
0.703329,0.02564877,25.6488,0.880321
0.751835,0.02560888,25.6089,0.878952
0.800340,0.02555711,25.5571,0.877175
0.848846,0.02548947,25.4895,0.874854
0.897351,0.02535654,25.3565,0.870291
0.945856,0.02518100,25.1810,0.864266
0.994362,0.02517311,25.1731,0.863995
1.042867,0.02520142,25.2014,0.864967
1.091373,0.02366163,23.6616,0.812118
1.139878,0.02508834,25.0883,0.861086
1.188384,0.02545059,25.4506,0.873519
1.236889,0.02565321,25.6532,0.880473
1.285395,0.02553174,25.5317,0.876304
1.333900,0.02543884,25.4388,0.873116
1.382406,0.02544421,25.4442,0.873300
1.430911,0.02561400,25.6140,0.879128
1.479417,0.02389175,23.8917,0.820016
1.527922,0.02494461,24.9446,0.856153
1.576427,0.02544014,25.4401,0.873160
1.624933,0.02570352,25.7035,0.882200
1.673438,0.02569894,25.6989,0.882043
1.721944,0.02571702,25.7170,0.882663
1.770449,0.02396143,23.9614,0.822408
1.818955,0.02511723,25.1172,0.862077
1.867460,0.02569623,25.6962,0.881950
1.915966,0.02572566,25.7257,0.882960
1.964471,0.02571124,25.7112,0.882465
2.012977,0.02568289,25.6829,0.881492
2.061482,0.02440711,24.4071,0.837705
2.109987,0.02532025,25.3203,0.869046
2.158493,0.02577582,25.7758,0.884682
2.206998,0.02584215,25.8421,0.886958
2.255504,0.02403128,24.0313,0.824805
2.304009,0.02505615,25.0561,0.859981
2.352515,0.02585080,25.8508,0.887255
2.401020,0.02593510,25.9351,0.890149
2.449526,0.02410571,24.1057,0.827360
2.498031,0.02500957,25.0096,0.858382
2.546537,0.02594205,25.9420,0.890387
2.595042,0.02588064,25.8806,0.888279
2.643548,0.02440653,24.4065,0.837685
2.692053,0.02571600,25.7160,0.882629
2.740558,0.02597328,25.9733,0.891459
2.789064,0.02424691,24.2469,0.832206
2.837569,0.02501118,25.0112,0.858437
2.886075,0.02598471,25.9847,0.891851
2.934580,0.02422409,24.2241,0.831423
2.983086,0.02500766,25.0077,0.858317
3.031591,0.02597192,25.9719,0.891412
3.080097,0.02418915,24.1892,0.830224
3.128602,0.02514287,25.1429,0.862957
3.177108,0.02591941,25.9194,0.889610
3.225613,0.02447362,24.4736,0.839987
3.274119,0.02542382,25.4238,0.872600
3.322624,0.02594188,25.9419,0.890381
3.371129,0.02444920,24.4492,0.839149
3.419635,0.02566215,25.6621,0.880780
3.468140,0.02461277,24.6128,0.844763
3.516646,0.02554985,25.5498,0.876926
3.565151,0.02511454,25.1145,0.861985
3.613657,0.02463116,24.6312,0.845394
3.662162,0.02575223,25.7522,0.883872
3.710668,0.02451576,24.5158,0.841434
3.759173,0.02561567,25.6157,0.879185
3.807679,0.02457473,24.5747,0.843458
3.856184,0.02572781,25.7278,0.883034
3.904689,0.02423615,24.2362,0.831837
3.953195,0.02519561,25.1956,0.864768
4.001700,0.02453405,24.5341,0.842062
4.050206,0.02513025,25.1302,0.862524
4.098711,0.02452921,24.5292,0.841895
4.147217,0.02511651,25.1165,0.862053
4.195722,0.02451396,24.5140,0.841372
4.244228,0.02510677,25.1068,0.861718
4.292733,0.02450296,24.5030,0.840994
4.341239,0.02508743,25.0874,0.861055
4.389744,0.02456636,24.5664,0.843170
4.438250,0.02550854,25.5085,0.875508
4.486755,0.02454993,24.5499,0.842607
4.535260,0.02491443,24.9144,0.855117
4.583766,0.02469683,24.6968,0.847648
4.632271,0.02457571,24.5757,0.843491
4.680777,0.02538488,25.3849,0.871264
4.729282,0.02449239,24.4924,0.840632
4.777788,0.02542289,25.4229,0.872568
4.826293,0.02444243,24.4424,0.838917
4.874799,0.02447827,24.4783,0.840147
4.923304,0.02457962,24.5796,0.843625
4.971810,0.02476294,24.7629,0.849917
5.020315,0.02413855,24.1386,0.828487
5.068821,0.02444303,24.4430,0.838937
5.117326,0.02429884,24.2988,0.833988
5.165831,0.02429182,24.2918,0.833747
5.214337,0.02445786,24.4579,0.839447
5.262842,0.02435219,24.3522,0.835819
5.311348,0.02412828,24.1283,0.828135
5.359853,0.02405533,24.0553,0.825631
5.408359,0.02397518,23.9752,0.822880
5.456864,0.02385939,23.8594,0.818906
5.505370,0.02379780,23.7978,0.816792
5.553875,0.02366667,23.6667,0.812291
5.602381,0.02355740,23.5574,0.808541
5.650886,0.02342550,23.4255,0.804014
5.699391,0.02327196,23.2720,0.798744
5.747897,0.02314266,23.1427,0.794306
5.796402,0.02293860,22.9386,0.787302
5.844908,0.02277162,22.7716,0.781571
5.893413,0.02258088,22.5809,0.775025
5.941919,0.02237968,22.3797,0.768119
5.990424,0.02217236,22.1724,0.761003
6.038930,0.02189466,21.8947,0.751472
6.087435,0.02147858,21.4786,0.737191
6.135941,0.02117978,21.1798,0.726936
6.184446,0.02107045,21.0704,0.723183
6.232952,0.02066442,20.6644,0.709247
6.281457,0.02036318,20.3632,0.698908
6.329962,0.01987578,19.8758,0.682180
6.378468,0.01943483,19.4348,0.667045
6.426973,0.01904977,19.0498,0.653829
6.475479,0.01848307,18.4831,0.634379
6.523984,0.01812687,18.1269,0.622153
6.572490,0.01758032,17.5803,0.603395
6.620995,0.01687423,16.8742,0.579160
6.669501,0.01643444,16.4344,0.564066
6.718006,0.01551510,15.5151,0.532512
6.766512,0.01497278,14.9728,0.513898
6.815017,0.01423075,14.2308,0.488430
6.863522,0.01334966,13.3497,0.458189
6.912028,0.01264206,12.6421,0.433903
6.960533,0.01152754,11.5275,0.395650
7.009039,0.01060676,10.6068,0.364047
7.057544,0.00917091,9.1709,0.314765
7.106050,0.00815443,8.1544,0.279878
7.154555,0.00652516,6.5252,0.223957
7.203061,0.00453743,4.5374,0.155735
7.251566,0.00310606,3.1061,0.106607
