y_m,tau_Pa,tau_over_tau_cr
-7.261236,3.0104,0.103324
-7.188259,5.1826,0.177879
-7.115281,7.1054,0.243874
-7.042304,7.2543,0.248984
-6.969327,8.0542,0.276439
-6.896350,8.4332,0.289446
-6.823373,9.1536,0.314170
-6.750395,8.7077,0.298868
-6.677418,8.8387,0.303362
-6.604441,8.9206,0.306175
-6.531464,8.9931,0.308663
-6.458486,8.9873,0.308462
-6.385509,8.9580,0.307457
-6.312532,10.6817,0.366620
-6.239555,9.4879,0.325647
-6.166577,8.5042,0.291883
-6.093600,11.6554,0.400037
-6.020623,9.6218,0.330241
-5.947646,8.5730,0.294245
-5.874668,9.0430,0.310377
-5.801691,9.0286,0.309883
-5.728714,9.0410,0.310306
-5.655737,9.0397,0.310262
-5.582759,9.0600,0.310960
-5.509782,9.0475,0.310528
-5.436805,9.0494,0.310596
-5.363828,9.0358,0.310128
-5.290850,9.0146,0.309402
-5.217873,9.8448,0.337895
-5.144896,10.4635,0.359131
-5.071919,8.7519,0.300385
-4.998941,9.8678,0.338683
-4.925964,10.2710,0.352523
-4.852987,8.6513,0.296930
-4.780010,9.8775,0.339017
-4.707032,10.6021,0.363886
-4.634055,8.9088,0.305769
-4.561078,9.0853,0.311828
-4.488101,8.9080,0.305742
-4.415123,10.1278,0.347607
-4.342146,11.2456,0.385973
-4.269169,8.7741,0.301146
-4.196192,9.1824,0.315161
-4.123214,9.1019,0.312396
-4.050237,8.8933,0.305239
-3.977260,11.7022,0.401646
-3.904283,9.7307,0.333979
-3.831305,8.4104,0.288663
-3.758328,11.7804,0.404330
-3.685351,9.2637,0.317951
-3.612374,9.0038,0.309030
-3.539396,9.2340,0.316930
-3.466419,9.1181,0.312952
-3.393442,9.1812,0.315118
-3.320465,9.2288,0.316753
-3.247487,9.1424,0.313787
-3.174510,9.2386,0.317090
-3.101533,9.1142,0.312819
-3.028556,9.2139,0.316241
-2.955578,9.1212,0.313059
-2.882601,9.2464,0.317356
-2.809624,9.1351,0.313535
-2.736647,9.2475,0.317392
-2.663669,9.1240,0.313154
-2.590692,9.1954,0.315607
-2.517715,9.1622,0.314468
-2.444738,9.1286,0.313313
-2.371760,9.2108,0.316135
-2.298783,9.1365,0.313585
-2.225806,9.1820,0.315147
-2.152829,9.1662,0.314604
-2.079852,9.1485,0.313996
-2.006874,9.1720,0.314804
-1.933897,9.1420,0.313773
-1.860920,9.1586,0.314342
-1.787943,9.1407,0.313728
-1.714965,9.1541,0.314187
-1.641988,9.1230,0.313120
-1.569011,9.1664,0.314611
-1.496034,9.1361,0.313572
-1.423056,9.1703,0.314745
-1.350079,9.0862,0.311858
-1.277102,9.1198,0.313012
-1.204125,9.1481,0.313983
-1.131147,9.1529,0.314149
-1.058170,9.0933,0.312101
-0.985193,9.0505,0.310632
-0.912216,9.0359,0.310133
-0.839238,9.0875,0.311902
-0.766261,9.1089,0.312637
-0.693284,9.1188,0.312978
-0.620307,9.1224,0.313102
-0.547329,9.1228,0.313115
-0.474352,9.1182,0.312957
-0.401375,9.1158,0.312872
-0.328398,9.1152,0.312853
-0.255420,9.1119,0.312739
-0.182443,9.1089,0.312637
-0.109466,9.1094,0.312655
-0.036489,9.1096,0.312661
0.036489,9.1076,0.312592
0.109466,9.1087,0.312629
0.182443,9.1118,0.312737
0.255420,9.1121,0.312747
0.328398,9.1132,0.312786
0.401375,9.1181,0.312953
0.474352,9.1204,0.313030
0.547329,9.1198,0.313012
0.620307,9.1203,0.313029
0.693284,9.1182,0.312956
0.766261,9.1057,0.312529
0.839238,9.0859,0.311847
0.912216,9.0571,0.310858
0.985193,9.0589,0.310920
1.058170,9.0864,0.311864
1.131147,9.1499,0.314045
1.204125,9.1469,0.313942
1.277102,9.1163,0.312891
1.350079,9.0838,0.311774
1.423056,9.1709,0.314764
1.496034,9.1351,0.313537
1.569011,9.1647,0.314552
1.641988,9.1234,0.313134
1.714965,9.1535,0.314167
1.787943,9.1384,0.313650
1.860920,9.1580,0.314321
1.933897,9.1416,0.313760
2.006874,9.1717,0.314794
2.079852,9.1481,0.313982
2.152829,9.1659,0.314594
2.225806,9.1817,0.315135
2.298783,9.1361,0.313570
2.371760,9.2111,0.316146
2.444738,9.1290,0.313327
2.517715,9.1591,0.314362
2.590692,9.1941,0.315561
2.663669,9.1270,0.313259
2.736647,9.2482,0.317418
2.809624,9.1335,0.313481
2.882601,9.2490,0.317445
2.955578,9.1239,0.313151
3.028556,9.2122,0.316184
3.101533,9.1138,0.312805
3.174510,9.2396,0.317123
3.247487,9.1427,0.313798
3.320465,9.2282,0.316733
3.393442,9.1813,0.315123
3.466419,9.1173,0.312926
3.539396,9.2311,0.316833
3.612374,8.9714,0.307917
3.685351,9.9327,0.340913
3.758328,11.7122,0.401987
3.831305,8.3217,0.285619
3.904283,9.7810,0.335704
